Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
75,11,22,1,13,21.349999999999984,20,114,118,109,117,26,25.74199999999998,1.0369999999999995,1.4029999999999991,10.796999999999992,20,6,6,16,132,6,6,51,2,0.5,17,2.75,1,L,0.1950151515151515,0.17283333333333334,0.23383333333333334,0.21170588235294113
76,1,1,1,12,38.00299999999997,19,165,46,15,62,70,39.52799999999997,5.7949999999999955,25.25399999999998,0.061,20,14,18,1,172,26,111,1,5,0,19,4.75,1,L,0.22981395348837208,0.22288461538461538,0.2275135135135135,0.061
76,1,2,1,1,22.142999999999983,18,107,78,82,33,76,23.240999999999982,2.0129999999999986,2.622999999999998,2.561999999999998,20,7,11,8,112,11,15,13,3,0.5,23,3.5,1,L,0.20750892857142855,0.183,0.17486666666666667,0.19707692307692307
76,2,3,1,3,21.898999999999983,19,98,7,30,27,28,40.38199999999997,0.122,2.561999999999998,0.9149999999999996,20,2,11,7,188,2,12,7,5,0.5,36,5.25,1,L,0.21479787234042552,0.061,0.2135,0.1307142857142857
76,2,4,1,2,23.240999999999982,19,109,57,48,54,52,33.671999999999976,5.7949999999999955,1.463999999999999,0.5489999999999999,20,13,7,3,147,20,8,4,4,0.5,29,4.25,1,L,0.2290612244897959,0.28974999999999995,0.183,0.13724999999999998
76,3,5,1,12,46.96999999999996,17,212,48,44,13,19,52.39899999999996,0.122,3.720999999999997,7.9299999999999935,20,1,11,14,230,1,16,40,5,0,22,5.5,1,L,0.22782173913043477,0.122,0.23256249999999998,0.19824999999999998
76,3,6,1,14,14.212999999999989,17,72,86,62,30,90,15.005999999999988,6.282999999999995,6.099999999999995,1.4029999999999991,20,13,13,8,75,25,28,8,3,0,15,3.75,1,L,0.20007999999999998,0.25131999999999993,0.21785714285714283,0.175375
76,4,7,1,13,12.80999999999999,17,50,114,119,120,5,14.700999999999988,1.0369999999999995,1.4029999999999991,39.22299999999997,20,7,7,17,61,7,9,150,2,0.5,18,3,1,L,0.241,0.14814285714285713,0.15588888888888888,0.26148666666666665
76,4,8,1,11,24.64399999999998,20,112,61,64,20,14,24.70499999999998,4.7579999999999965,2.8669999999999978,3.781999999999997,20,18,5,11,113,28,7,20,4,0,20,5,1,L,0.21862831858407078,0.16992857142857143,0.4095714285714285,0.1891
76,5,9,1,2,14.883999999999988,20,81,60,56,49,30,18.299999999999986,2.1959999999999984,0.6099999999999999,14.944999999999988,20,7,1,17,98,8,1,66,4,0.5,29,4.25,1,L,0.186734693877551,0.2744999999999999,0.6099999999999999,0.2264393939393939
76,5,10,1,15,11.77299999999999,19,62,17,20,21,40,13.602999999999989,8.478999999999994,2.683999999999998,10.491999999999992,20,13,10,16,67,30,15,43,6,0.5,41,5.75,1,L,0.20302985074626864,0.2826333333333333,0.1789333333333333,0.24399999999999997
76,6,11,1,7,16.591999999999988,15,81,2,8,3,9,17.506999999999987,0.183,3.1109999999999975,2.500999999999998,19,2,10,9,85,2,14,9,6,1,72,6,1,L,0.2059647058823529,0.0915,0.2222142857142857,0.27788888888888885
