Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,success_schema,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
28,1,1,0,3,29.035999999999976,19,140,25,13,18,76,30.865999999999975,9.759999999999993,3.0499999999999976,0.305,20,18,13,1,148,38,15,1,5,0,20,5,0,6,L,0.20855405405405403,0.25684210526315787,0.2033333333333333,0.305
28,1,2,0,10,17.262999999999987,15,82,87,86,42,96,18.970999999999986,0.183,1.646999999999999,0.488,20,2,6,2,90,2,7,2,3,0.5,23,3.5,10,6,L,0.21078888888888886,0.0915,0.2352857142857143,0.244
28,2,3,0,1,27.14499999999998,19,122,77,78,83,43,31.841999999999974,0.5489999999999999,0.427,4.635999999999997,20,2,3,10,143,2,3,15,3,0.5,23,3.5,"1,10",6,L,0.22267132867132866,0.27449999999999997,0.14233333333333334,0.3090666666666666
28,2,4,0,10,5.611999999999996,15,25,61,96,87,85,24.33899999999998,0.061,0.183,0.8539999999999996,20,1,2,3,110,1,2,3,3,0.5,22,3.25,"10,1",6,L,0.20957055214723924,0.22204,0.0915,0.2846666666666667
28,3,5,0,10,0.5489999999999999,1,1,92,89,95,62,2.195999999999999,2.8669999999999978,3.2939999999999974,9.088999999999993,9,11,8,15,10,14,16,41,3,0.5,22,3.25,"10,1",6,L,0.19602247191011235,0.1936086956521739,0.20042857142857143,0.22168292682926827
28,3,6,0,1,1.0369999999999995,3,4,80,54,58,33,1.8299999999999992,12.38299999999999,7.075999999999994,9.515999999999993,8,17,14,16,9,51,32,45,3,0,16,4,10,6,L,0.2082413793103448,0.2451509433962264,0.2248285714285714,0.21146666666666664
28,4,7,0,2,51.54499999999996,19,243,57,50,59,60,52.15499999999996,1.0979999999999994,0.9149999999999996,0.122,20,4,6,1,249,5,8,1,4,1,48,4,"2,10",6,L,0.20945783132530119,0.2196,0.114375,0.122
28,4,8,0,10,10.979999999999992,19,69,89,36,2,3,12.01699999999999,7.563999999999994,11.89499999999999,5.550999999999996,20,13,17,14,75,20,44,16,3,0,20,5,2,6,L,0.16022666666666666,0.3781999999999999,0.2703409090909091,0.3469374999999999
28,5,9,0,2,0.9759999999999995,6,6,55,50,32,15,2.5619999999999985,1.8909999999999987,11.284999999999991,1.4029999999999991,14,8,16,4,15,11,46,4,4,0,19,4.75,0,6,L,0.2185391304347826,0.1719090909090909,0.24532608695652172,0.3507499999999999
28,5,10,0,8,44.346999999999966,17,193,117,118,6,1,46.237999999999964,2.622999999999998,1.8909999999999987,2.1959999999999984,20,10,10,8,198,14,12,12,2,0,16,4,0,6,L,0.2335252525252525,0.18735714285714286,0.15758333333333333,0.183
29,1,1,0,5,27.815999999999978,17,124,46,57,42,16,30.316999999999975,3.3549999999999973,3.598999999999997,0.6709999999999998,20,9,10,2,134,11,15,2,5,0,20,5,0,6,L,0.2262462686567164,0.30499999999999994,0.2399333333333333,0.3355
29,1,2,0,6,48.55599999999996,15,212,10,1,67,28,49.16599999999996,5.001999999999996,0.9149999999999996,2.3179999999999983,19,12,5,8,217,23,6,10,6,0,21,5.25,0,6,L,0.22657142857142853,0.21747826086956518,0.1525,0.2318
29,2,3,0,8,28.242999999999977,19,133,115,119,113,114,29.035999999999976,0.5489999999999999,1.1589999999999994,2.3179999999999983,20,2,5,12,137,3,5,15,2,1,24,2,8,6,L,0.21194160583941604,0.183,0.2318,0.15453333333333333
29,2,4,0,6,12.93199999999999,17,60,6,4,5,8,13.05399999999999,4.025999999999997,0.244,3.3549999999999973,19,9,2,10,62,15,2,16,6,1,72,6,"6,8",6,L,0.21054838709677418,0.26839999999999997,0.122,0.2096875
29,3,5,0,1,20.556999999999984,14,89,80,79,74,82,20.739999999999984,0.488,1.0979999999999994,0.183,16,2,5,1,91,2,6,1,3,1,36,3,"1,6,8",6,L,0.2279120879120879,0.244,0.183,0.183
29,3,6,0,2,0.122,1,1,52,58,53,85,1.2199999999999993,0.183,0.5489999999999999,0.6709999999999998,5,1,4,2,7,1,4,3,4,0.5,27,3.75,"2,1",6,L,0.2457941176470588,0.183,0.13724999999999998,0.22366666666666665
29,4,7,0,4,0.061,1,1,103,51,100,48,1.0369999999999995,3.0499999999999976,0.122,2.0129999999999986,7,7,2,11,7,9,2,15,2,0,13,3.25,0,6,L,0.21015753424657532,0.33888888888888885,0.061,0.13419999999999999
29,4,8,0,10,23.362999999999982,10,105,86,96,92,87,24.39999999999998,0.122,0.305,0.244,14,1,3,1,110,1,3,1,3,1,36,3,10,6,L,0.2218181818181818,0.122,0.10166666666666667,0.244
29,5,9,0,3,26.59599999999998,16,128,32,30,36,14,26.77899999999998,1.8909999999999987,3.1719999999999975,1.7689999999999988,18,6,9,6,130,7,12,6,5,0.5,36,5.25,"3,10",6,L,0.20599230769230767,0.27014285714285713,0.2643333333333333,0.2948333333333333
29,5,10,0,10,3.781999999999997,12,21,87,38,110,111,4.025999999999997,18.299999999999986,8.905999999999993,4.330999999999997,13,17,17,12,22,77,44,16,3,0,12,3,3,6,L,0.1871780821917808,0.23766233766233763,0.2024090909090909,0.27068749999999997
30,1,1,0,4,17.567999999999987,16,80,106,102,103,11,17.811999999999987,1.1589999999999994,2.561999999999998,0.8539999999999996,19,2,7,6,83,3,11,6,2,0.5,18,3,4,6,L,0.2146024096385542,0.3863333333333332,0.2329090909090909,0.14233333333333334
30,1,2,0,8,27.998999999999977,16,141,120,109,116,111,28.974999999999977,0.6709999999999998,1.1589999999999994,2.0129999999999986,20,3,6,7,148,3,7,9,2,1,24,2,"8,4",6,L,0.195777027027027,0.22366666666666665,0.16557142857142856,0.22366666666666665
30,2,3,0,4,0.061,1,1,105,100,106,2,2.1349999999999985,2.8669999999999978,5.489999999999996,0.244,11,5,11,1,15,7,28,1,2,0.5,18,3,"4,8",6,L,0.19423684210526315,0.4095714285714284,0.19607142857142856,0.244
30,2,4,0,8,8.417999999999994,15,43,16,55,118,43,31.902999999999977,0.183,0.061,0.244,20,2,1,2,156,2,1,2,2,0,17,4.25,4,6,L,0.20450641025641025,0.0915,0.061,0.122
30,3,5,0,7,18.848999999999986,20,92,15,14,23,29,18.909999999999986,3.476999999999997,1.463999999999999,4.208999999999997,20,10,6,11,93,13,8,15,6,0.5,41,5.75,"7,4",6,L,0.2033333333333333,0.2674615384615385,0.183,0.28059999999999996
30,3,6,0,4,0,0,0,104,3,107,12,0.488,13.785999999999989,0.366,4.635999999999997,4,16,2,13,4,52,2,22,2,0,16,4,7,6,L,0.20767415730337077,0.24963076923076918,0.183,0.2107272727272727
30,4,7,0,7,14.517999999999988,18,69,13,60,50,44,14.578999999999988,4.269999999999997,3.781999999999997,0.061,19,13,10,1,70,22,13,1,6,0,19,4.75,0,6,L,0.21911199999999997,0.1940909090909091,0.2909230769230769,0.061
30,4,8,0,8,9.881999999999993,17,53,120,113,112,109,10.369999999999992,0.9759999999999995,0.183,1.2809999999999993,20,2,2,6,56,3,2,8,2,1,24,2,8,6,L,0.18517857142857141,0.32533333333333325,0.0915,0.160125
30,5,9,0,7,22.569999999999983,17,105,21,15,13,107,24.27799999999998,0.9759999999999995,6.343999999999995,20.983999999999984,20,2,14,16,114,2,28,85,6,0.5,38,5,"7,8",6,L,0.21296491228070175,0.4879999999999999,0.22657142857142856,0.2468705882352941
