,ID,round,phase,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,dwmean_1,dwmean_2,dwmean_3,dwmean_4,schemas_1,schemas_2,schemas_3,schemas_4,RT_1,RT_2,RT_3,RT_4,payoff,accuracy,performance,novelty,breakR,afterbreak,type
14,1,8,16,20,4,16,3,58,6,28,3,0.616661017,1.264857143,0.571448276,0.81525,3,6,6,5,36.383,8.854,16.572,3.261,5,0,20,1,-1,1,H
15,1,9,17,18,14,8,4,32,13,11,4,0.742181818,1.415142857,0.787666667,0.6612,5,4,5,3,24.492,19.812,9.452,3.306,4.25,0,17,1,-1,1,H
16,1,9,18,20,6,8,3,42,7,10,2,0.615139535,0.579125,0.640363636,1.120333333,2,6,2,5,26.451,4.633,7.044,3.361,3.75,0,15,1,-1,1,H
17,1,10,19,20,9,6,2,51,10,8,2,0.706365385,0.410272727,0.321,1.4,2,6,6,5,36.731,4.513,2.889,4.2,4.75,0.25,19,1,-1,1,H
18,1,10,20,12,9,16,16,24,14,42,23,0.62508,0.242066667,0.415372093,1.172166667,3,3,3,4,15.627,3.631,17.861,28.132,3.25,0.25,22,1,-1,1,H
19,1,11,21,20,12,13,14,59,13,28,25,0.814016667,0.793428571,0.480310345,0.374807692,4,2,6,6,48.841,11.108,13.929,9.745,4.5,0,18,1,-1,1,H
20,1,11,22,20,4,4,9,176,3,3,18,0.672644068,1.30325,0.87225,0.420684211,2,5,3,5,119.058,5.213,3.489,7.993,3.75,0,15,1,-1,1,H
21,1,12,24,20,2,5,11,76,1,27,11,0.496753247,1.1765,0.1595,0.609416667,4,4,3,4,38.25,2.353,4.466,7.313,3.75,0.25,27,1,-1,1,H
22,2,1,1,15,2,20,4,43,3,57,6,0.896681818,0.33575,0.745275862,1.054,2,2,2,2,39.454,1.343,43.226,7.378,2,0.75,24,0,-1,0,H
23,2,1,2,20,3,16,5,244,2,44,4,0.677677551,0.984,0.567,0.5628,4,4,4,2,166.031,2.952,25.515,2.814,3.5,0.75,26,0,-1,0,H
24,2,2,3,20,5,11,4,111,4,17,11,0.830607143,0.6464,0.630944444,0.294166667,4,6,6,4,93.028,3.232,11.357,3.53,5,0.5,20,0,-1,0,H
25,2,2,4,20,9,11,17,109,9,36,37,0.995618182,0.7491,0.373216216,0.860421053,6,6,6,6,109.518,7.491,13.809,32.696,6,0.5,72,0,-1,0,H
26,2,3,5,20,5,10,18,105,4,20,88,0.510792453,0.6862,0.366809524,0.634067416,6,6,6,4,54.144,3.431,7.703,56.432,5.5,0.75,40,0,-1,0,H
27,2,3,6,20,6,11,5,55,14,10,6,1.028589286,0.502533333,0.858,1.008428571,6,6,6,6,57.601,7.538,9.438,7.059,6,0.75,72,0,-1,0,H
28,2,6,12,19,7,2,3,95,12,1,5,0.347125,0.482692308,0.3995,0.288666667,6,6,6,6,33.324,6.275,0.799,1.732,6,0.5,72,1,-1,1,H
29,2,7,14,20,5,6,3,51,4,7,4,0.676980769,0.485,0.6085,0.1652,6,3,6,6,35.203,2.425,4.868,0.826,5.25,0.25,39,1,-1,1,H
30,2,8,15,20,3,2,7,72,2,2,14,0.547178082,0.440333333,0.822333333,0.3374,6,6,2,6,39.944,1.321,2.467,5.061,5,0.75,38,1,-1,1,H
31,2,12,23,6,4,20,4,6,7,170,4,6.126857143,0.490125,0.22871345,0.7358,5,5,5,6,42.888,3.921,39.11,3.679,5.25,0.25,36,1,-1,1,H
32,2,12,24,11,2,8,2,23,1,9,1,1.348083333,0.8965,0.3914,2.868,5,5,3,6,32.354,1.793,3.914,5.736,4.75,0.25,19,1,-1,1,H
33,5,1,1,19,5,9,6,116,9,19,17,0.797051282,0.3124,0.6885,0.466277778,6,6,4,4,93.255,3.124,13.77,8.393,5,0.25,20,0,-1,0,H
34,5,1,2,11,11,6,19,34,22,10,80,0.846514286,0.592565217,0.794,0.59854321,3,3,3,5,29.628,13.629,8.734,48.482,3.5,0.25,23,0,-1,0,H
35,5,2,3,8,5,13,4,7,6,28,5,1.4685,1.221428571,0.974931034,1.901333333,3,3,3,2,11.748,8.55,28.273,11.408,2.75,0.5,20,0,-1,0,H
36,5,2,4,5,10,4,5,5,17,9,6,0.7405,1.204444444,0.671,0.751142857,2,3,3,3,4.443,21.68,6.71,5.258,2.75,0.5,20,0,-1,0,H
37,5,3,5,17,4,13,2,41,4,14,2,0.713190476,0.6424,1.325,1.106,3,3,2,6,29.954,3.212,19.875,3.318,3.5,0.5,14,0,-1,0,H
38,5,3,6,11,3,4,18,29,2,5,33,0.508466667,0.434,0.578166667,1.396411765,3,3,3,3,15.254,1.302,3.469,47.478,3,0.5,36,0,-1,0,H
39,5,4,7,18,2,6,11,43,3,7,37,0.811840909,0.44375,0.932,0.440684211,2,2,2,4,35.721,1.775,7.456,16.746,2.5,0.5,16,0,-1,0,H
40,5,4,8,11,3,14,7,21,2,65,8,0.695545455,2.170666667,0.326560606,0.785555556,6,6,6,4,15.302,6.512,21.553,7.07,5.5,0.5,40,0,-1,0,H
41,5,5,9,20,8,5,2,72,12,6,2,0.744684932,0.495,0.646571429,1.109,3,5,4,6,54.362,6.435,4.526,3.327,4.5,0.5,18,0,-1,0,H
42,5,5,10,14,8,3,12,46,17,2,41,0.544446809,0.946722222,1.675666667,0.556071429,6,6,6,6,25.589,17.041,5.027,23.355,6,0.5,72,0,-1,0,H
43,5,6,11,9,15,4,6,16,44,4,6,0.711647059,0.846355556,0.6116,0.869857143,4,4,2,6,12.098,38.086,3.058,6.089,4,0.5,16,0,-1,0,H
44,5,6,12,11,4,15,18,30,3,31,45,0.67416129,0.36675,0.97340625,0.960456522,6,6,6,6,20.899,1.467,31.149,44.181,6,0.5,72,0,-1,0,H
45,5,7,13,20,10,4,4,78,15,5,4,0.83478481,0.5250625,0.5445,0.595,6,4,5,3,65.948,8.401,3.267,2.975,4.5,0,18,1,-1,1,H
46,5,8,15,19,5,2,2,56,7,1,2,0.862508772,0.380875,0.5945,0.262333333,6,4,6,6,49.163,3.047,1.189,0.787,5.5,0.25,40,1,-1,1,H
47,5,8,16,16,3,5,3,33,3,6,2,0.827852941,1.07575,0.262714286,1.173666667,4,5,6,4,28.147,4.303,1.839,3.521,4.75,0.25,19,1,-1,1,H
48,5,9,17,20,3,6,4,59,4,5,3,0.765433333,0.27,0.334833333,0.44425,4,5,4,3,45.926,1.35,2.009,1.777,4,0,16,1,-1,1,H
